Rack,First Row,Height,Type,pwrConsumption,Q
1,1,2,server,0,0
1,3,2,server,800,0.047111111111111
1,5,2,server,0,0
1,7,2,server,800,0.047111111111111
1,9,2,server,800,0.047111111111111
1,11,2,server,0,0
1,13,2,server,800,0.047111111111111
1,15,2,server,0,0
1,17,2,server,0,0
1,19,2,server,0,0
1,21,2,server,0,0
1,23,2,server,0,0
1,25,2,server,0,0
1,27,2,server,0,0
1,29,2,server,0,0
1,31,2,server,0,0
1,33,2,server,0,0
1,35,2,server,0,0
1,37,2,server,0,0
1,39,2,server,0,0
1,41,1,other,0,0
1,42,1,other,0,0
2,1,10,server,0,0
2,11,10,server,3000,0.176666666666667
2,21,2,server,0,0
2,23,2,server,800,0.047111111111111
2,25,2,server,0,0
2,27,2,server,0,0
2,29,2,server,0,0
2,31,2,server,0,0
2,33,2,server,0,0
2,35,2,server,0,0
2,37,1,other,0,0
2,38,1,other,0,0
2,39,1,other,0,0
2,40,1,other,0,0
2,41,1,other,0,0
2,42,1,other,0,0
3,1,10,server,0,0
3,11,10,server,650,0.038277777777778
3,21,2,server,800,0.047111111111111
3,23,1,other,0,0
3,24,4,server,900,0.053
3,28,4,server,900,0.053
3,32,4,server,0,0
3,36,1,server,650,0.038277777777778
3,37,1,server,0,0
3,38,1,server,0,0
3,39,1,server,0,0
3,40,1,other,0,0
3,41,1,other,0,0
3,42,1,other,0,0
4,1,10,server,0,0
4,11,2,server,0,0
4,13,2,server,800,0.047111111111111
4,15,2,server,800,0.047111111111111
4,17,2,server,0,0
4,19,1,server,0,0
4,20,1,server,650,0.038277777777778
4,21,2,server,900,0.053
4,23,1,server,0,0
4,24,1,server,650,0.038277777777778
4,25,2,server,0,0
4,27,2,server,800,0.047111111111111
4,29,2,server,0,0
4,31,2,server,0,0
4,33,2,server,0,0
4,35,2,server,0,0
4,37,2,server,0,0
4,39,1,other,0,0
4,40,1,other,0,0
4,41,1,other,0,0
4,42,1,other,0,0
