#{"t_start": 1781387336.745137, "env_id": "None"}
r,l,t
196.4408,100,2.01788
277.0675,100,3.569877
-14.3337,8,3.705271
240.513,100,5.257739
195.02,100,6.943871
124.5624,100,8.615898
302.5544,100,10.214462
120.4932,100,11.831818
-81.5468,100,13.475828
190.2305,100,15.293811
-3.2106,1,15.319381
269.0685,100,16.980232
224.0784,100,18.617691
249.3073,100,20.251667
-33.858,100,21.884766
-3.2155,1,21.910532
-3.2299,1,21.935789
110.6636,100,23.593628
-3.0887,1,23.619677
-37.0328,100,25.278938
214.7816,100,26.96702
239.5978,100,28.679876
290.0385,100,30.401807
267.1489,100,32.082543
206.309,100,33.770127
286.696,100,35.715792
-14.8303,7,35.843319
-11.2366,4,35.921333
-386.8668,100,37.610463
211.225,100,39.289264
-3.0882,1,39.332359
-7.4027,2,39.378323
-3.1015,1,39.405598
202.9306,100,41.094388
255.9756,100,42.786475
-2.8706,2,42.829523
232.9836,100,44.549214
187.114,100,46.259609
180.8434,100,47.965595
267.1788,100,49.675754
250.5532,100,51.386135
-27.9535,9,51.551207
290.4939,100,53.261101
144.6526,100,54.994077
227.5488,100,56.755602
-377.1705,100,58.499125
178.3516,100,60.229367
203.2544,100,61.95929
137.5228,100,63.693366
-9.8905,6,63.805094
-383.9022,100,65.540223
123.8286,100,67.270532
-257.0741,100,69.011118
186.0512,100,70.971603
-3.2269,1,70.998404
274.0714,100,72.741156
290.1016,100,74.492747
-10.3666,5,74.58641
-268.9922,100,76.338259
270.4112,100,78.093398
123.8461,100,79.854117
124.9578,100,81.647808
240.8156,100,83.397942
-380.5114,100,85.165604
-2.6371,2,85.210801
209.4005,100,86.991351
-2.6371,2,87.036132
163.4696,100,88.807989
-380.6129,100,90.596648
258.9483,100,92.372508
133.2638,100,94.150739
-7.0907,3,94.213744
287.4942,100,95.989907
-2.4862,3,96.052846
232.5836,100,97.842002
-3.0882,1,97.86871
129.1372,100,99.667221
301.6062,100,101.453804
-86.2012,100,103.23786
281.678,100,105.075973
-380.1336,100,107.134
-7.441,2,107.181101
236.4301,100,109.020961
-250.7158,100,110.859855
259.3559,100,112.721761
-70.8624,100,114.587051
-2.8552,2,114.634053
287.9425,100,116.572361
201.5084,100,118.476607
170.5234,100,120.392066
-5.5653,7,120.540104
254.3015,100,122.473924
212.7742,100,124.404421
282.8564,100,126.351395
178.7158,100,128.312573
252.1429,100,130.301909
-2.8706,2,130.355577
-2.8839,2,130.409356
227.0139,100,132.4047
-3.1132,1,132.437146
-7.216,2,132.490631
279.388,100,134.495193
290.9709,100,136.655145
215.6199,100,138.695975
-11.308,4,138.788046
-3.214,1,138.820019
181.8772,100,140.85864
-10.8427,4,140.951522
-10.1785,7,141.106088
259.7608,100,143.15332
-77.2658,100,145.224019
-3.2171,1,145.25638
-31.864,100,147.58471
-3.2299,1,147.617427
-378.5244,100,149.70239
307.026,100,151.804627
-7.0381,3,151.879651
261.8408,100,153.982372
286.2337,100,156.073785
-10.5052,6,156.209549
-65.9018,100,158.350599
-3.2299,1,158.389153
-2.8415,2,158.449945
183.5012,100,160.587352
240.1405,100,162.752272
-7.0636,3,162.828875
188.992,100,165.001127
-5.7877,5,165.11857
309.19,100,167.27957
-3.2209,1,167.313397
-0.7327,6,167.465251
271.8933,100,169.615128
-10.2316,5,169.734394
-3.2323,1,169.767758
192.7739,100,171.912905
233.5234,100,174.070754
-3.2323,1,174.104309
261.7488,100,176.33661
144.333,100,178.534656
-64.0112,100,180.682049
308.6789,100,182.820488
262.6221,100,184.975604
-3.2269,1,185.00887
238.893,100,197.849611
134.8174,100,199.962122
-16.5902,100,202.077759
280.69,100,204.469658
-3.2203,1,204.50294
-7.4664,2,204.558305
299.5268,100,206.678223
251.0024,100,208.790578
-3.2332,1,208.823026
-182.2395,100,210.928485
-385.4349,100,213.035371
-2.6371,2,213.089321
-3.2332,1,213.121277
-374.0202,100,215.227173
-3.2203,1,215.259071
