timestep,mean_reward,max_reward,min_reward,n_episodes
2048,141.5344,302.5544,-81.5468,25
4096,67.7059,290.4939,-386.8668,28
6144,87.4069,301.6062,-380.6129,27
8192,91.9218,290.9709,-380.1336,32
10240,94.2866,309.19,-378.5244,34
12288,106.6374,314.1808,-385.4349,30
14336,116.9024,309.3858,-363.6571,28
16384,72.6275,316.839,-374.5416,35
18432,103.087,321.9885,-385.0721,26
20480,30.9505,319.978,-392.3146,30
22528,162.6262,314.7812,-390.0106,22
24576,155.637,323.895,-69.8081,31
26624,68.245,332.2412,-381.4345,31
28672,120.8247,307.3509,-15.9292,35
30720,11.2435,286.5876,-384.0844,34
32768,71.9655,314.2694,-381.4257,32
34816,65.1473,312.6143,-388.5225,23
36864,139.9371,325.1384,-391.946,24
38912,100.8555,331.655,-382.5903,29
40960,149.7067,306.1083,-384.1444,23
43008,85.1139,332.5599,-387.3427,30
45056,91.6138,328.3465,-389.3209,29
47104,151.2784,299.5162,-384.4722,24
49152,120.7944,294.9908,-388.8432,26
51200,26.4252,325.7015,-382.5903,33
